olddrugname
cosentyx
cosentyx $ pen
cosentyx $ pen (derm 1st switch)
cosentyx $ pen (derm naive)
cosentyx (homecare) 150 mg in 1ml pre-filled pen
cosentyx 150mg/1ml solution for injection pre-filled pens (novartis pharmaceuticals uk ltd)
cosentyx pen
cosentyx pen 150mg        730592
cosentyx pen 150mg <10>
cosentyx pen 150mg <2>
cosentyx pen 150mg <6>
cosentyx* $ pen (derm naive)
cosentyx150mg/1mlsolutionforinjectionpre-filledpens(novartispharmaceuticalsukltd)2pre-fi
hc - secukinumab (cosentyx)
hc secukinumab 150 mg in 1ml injection pre filled pen
hc secukinumab 150 mg in 1ml injection prefilled syringe
home secukinumab 150mg-ml injection (pen) 2pk
home secukinumab 150mg-ml injection (pen) foc
home secukinumab 150mg  -ml injection (pen) 2pk
home secukinumab 150mg/ml injection (pen) 2pk
homecare - secukinumab
homecare - secukinumab 150 mg in 1ml prefilled pen
homecare - secukinumab 150 mg in 1ml prefilled syringe
homecare (cosentyx) secukinumab device  as prescription 150 mg injection
homecare (cosentyx) secukinumab pen - dose as prescription 150 mg injection
homecare cosentyx pen secukinumab
homecare secukinumab
homecare secukinumab (cosentyx) 150 mg prefilled pen
homecare secukinumab 150 mg pre-filled pen 2 x pre-filled device box
homecare secukinumab 150 mg pre-filled syringe 2 x 1ml prefilled pen pack
homecare secukinumab 150mg/ml!inj (pre-filled pen)(2)
homecare secukinumab 150mg/ml!inj (pre-filled syringe)2
homecare secukinumab^ (cosentyx) 150 mg pre-filled
secukinimab
secukinimab (pre-filled pen) 150 mg injection
secukinumab
secukinumab  (homecare)
secukinumab  150mg/ml  injection (pre-filled pen)
secukinumab  150mg/ml injection solution
secukinumab $ pen 150mg/ml pen
secukinumab ()
secukinumab (1 pre-filled pen
secukinumab (1 pre-filled pen hom)
secukinumab (cosentyx for homecare therapy) senosready pen
secukinumab (cosentyx)
secukinumab (cosentyx) [homecare] (derm) 150 mg prefilled pen
secukinumab (cosentyx) [homecare] (rheumatology) 150 mg prefilled pen
secukinumab (cosentyx) [homecare] (rheumatology) 150 mg prefilled syringe
secukinumab (cosentyx) 150 mg pre-filled injection pen
secukinumab (cosentyx) 150 mg pre-filled pen
secukinumab (cosentyx)_(homecare) 150 mg in 1ml pre-filled injection pen
secukinumab (cosentyx)_(homecare) 150 mg in 1ml pre-filled syringe
secukinumab (home delivery)
secukinumab (home delivery) 150 mg in 1ml pre-filled pen
secukinumab (homecare - lpch) sensoready syringe
secukinumab (homecare)
secukinumab (homecare) (pasi) 150 mg pre-filled pen
secukinumab (homecare) (pen) 150 mg pre-filled pen
secukinumab (homecare) 150 mg pre-filled pen
secukinumab (homecare) 150 mg pre-filled syringe
secukinumab (homecare) sensoready pen
secukinumab (pas) (homecare)
secukinumab (pen)
secukinumab (pre-filled pen)
secukinumab [cosentyx] (homecare) 150 mg/1ml soln for inject pf disp device
secukinumab [cosentyx] (homecare) 150 mg/1ml soln for inject pf syringes
secukinumab [cosentyx] (homecare) 150 mg/1ml soln for injection pf pen
secukinumab 150 mg/ml pen
secukinumab 150mg-ml inj (pre-filled pen) (2)
secukinumab 150mg injection  (2 inj)(homecare
secukinumab 150mg injection! (2 inj)(homecare
secukinumab 150mg/1ml solution for injection pre-f
secukinumab 150mg/1ml solution for injection pre-filled disposable devices
secukinumab 150mg/1ml solution for injection pre-filled syringes
secukinumab 150mg/ml inj (pre-filled pen) (2)
secukinumab 150mg/ml injection(homecare) (pfp)
secukinumab homecare (pre-filled pen)
secukinumab!150mg/ml!injection (pre-filled pen)
secukinumab!150mg/ml!injection (prefilled pen)
secukinumab!150mg/ml!injection (prefilled syringe)
secukinumab* 150 mg/ml pen
secukinumab*(home) 150 mg in 1ml subcutaneous injection
secukinumab_hc
secukinumabá
