olddrugname
guselkumab
guselkumab
guselkumab-Ã¡
guselkumab (for homecare therapy)
guselkumab (homecare)
guselkumab (homecare)
guselkumab (homecare) 100 mg pre-filled syringe
guselkumab (pas) 100 mg pen
guselkumab (pas) 100 mg pre-filled syringe
guselkumab (tremfya) 100 mg in 1ml pre-filled injection pen
guselkumab (tremfya) 100 mg in 1ml prefilled syringe
guselkumab (tremfya) 100 mg pre-filled syringe
guselkumab (tremfya)_(homecare) 100 mg in 1ml pre-filled injection pen
guselkumab [tremfya] (homecare) 100 mg pre-filled injection pen
guselkumab 100mg/1ml solution for injection pre-filled disposable devices
guselkumab 100mg/1ml solution for injection pre-filled disposable devices
guselkumab 100mg/1ml solution for injection pre-filled syringes
guselkumab?
hc guselkumab 100 mg injection pen
home- guselkumab 100mg/1ml pre-filled pen (1 pen)
home-risankizumab 75mg/0.83ml solution for inj pfs
home - guselkumab 100mg-1ml pre-filled pen (1 pen)
home - guselkumab 100mg  -1ml pre-filled pen (1 pen)
home - guselkumab 100mg/1ml pre-filled pen (1 pen)
home - risankizumab 75mg-0.83ml solution for inj pfs
homecare guselkumab
homecare tildrakizumab
risankizumab
risankizumab   
risankizumab ( (homecare)
risankizumab (home) 75 mg subcutaneous injection
risankizumab (skyrizi - homecare) 75 mg in 0.83ml pre-filled syringe
risankizumab 75mg in 0.83ml (skyrizi) (homecare) 75 mg pre-filled syringe
risankizumab 75mg/0.83ml solution for injection (2)
risankizumab pas scheme (skyrizi) 75 mg pre-filled syringe
risankizumab pas scheme (skyrizi)_(homecare) 75 mg pre-filled syringe
skyrizi
skyrizi
skyrizi (risankizumab)
skyrizi (risankizumab) (homecare)
tildrakizumab
tildrakizumab (homecare)
tremfya (homecare) 100 mg in 1ml pre-filled pen
tremfya pen 100mg    sap 25495          
tremfya100mg/1mlsolutionforinjectionpre-filledpens(janssen-cilagltd)1pre-filleddisposable
